'BABYFOOD,CRL,RICE,PREP W/WHL MILK';85
'BABYFOOD,CRL,RICE,W/HONEY,PREP W/WHL MILK';115
'BABYFOOD,CRL,MXD,W/HONEY,PREP W/WHL MILK';115
'BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,PREP W/WHL MILK';112
'BABYFOOD,CRL,RICE,W/BANANAS,PREP W/WHL MILK';86
'INF FORMULA,NESTLE,GOOD START SUPREME,W/ IRON,RTF';66
'INF FORMULA,NES,G START SUPR,W/ IRON,LIQ CONC,NOT RECON';127
'INF FORMULA,NESTLE,GOOD START SUPREME,W/ IRON,PDR';509
'INFANT FORMULA,MEAD JOHNSON,ENFAMIL,W/IRON,RTF';63
'INF FORMULA,MEAD JOHNSON,ENFAMIL,W/ IRON,PDR';520
'INFANT FORMULA,MEAD JOHNSON,ENFAMIL,LO IRON,RTF';63
'INF FORMULA,MEAD JOHNSON,ENFAMILLIPIL,W/IRN,PDR,W/ ARA & DHA';511
'INFANT FORMULA,MEAD JOHNSON,ENFAMIL,LO IRON,PDR,NOT RECON';511
'INF FORMU,MEAD JOHNS,ENFA,LIPIL,W/ IRO,LIQ CONC,W/ ARA & DHA';131
'INF FORMULA,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN,W/ IRON,RTF';66
'INF FORM,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN,W/IRON,PDR,NOTRECN';502
'INF FORMMEAD JOHN,ENFAMIL LIPIL,W/ IRON,RTF,W/ ARA & DHA';64
